,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
9901,4607418493,6913293758,0,538427514,False,2,Lorong Chuan,tertiary,50,9.444,"LINESTRING (103.8679762 1.361653, 103.86799 1.3615692)",,,,,,,
9902,4607458642,4314656464,0,538620030,True,2,Upper Serangoon Road,primary,60,48.005,"LINESTRING (103.8824937 1.3576146, 103.8821719 1.3573267)",,,,,,,
9903,4612927331,244945310,0,537349399,True,3,Gambas Avenue,primary,70,31.801,"LINESTRING (103.8176561 1.4412735, 103.8178701 1.4410837)",,,,,,,
9904,4613023137,242601324,0,74574408,True,2,Loyang Avenue,primary,70,43.311,"LINESTRING (103.9783488 1.3845019, 103.9783509 1.3841124)",,,,,,,
9905,4613023138,5152743778,0,74574408,True,2,Loyang Avenue,primary,70,18.341,"LINESTRING (103.9783792 1.3848803, 103.9783598 1.3847165)",,,,,,,
9906,4613023139,242601366,0,74574408,True,2,Loyang Avenue,primary,70,34.303,"LINESTRING (103.9785161 1.3853592, 103.9784223 1.3850653)",,,,,,,
9907,4613023140,242601387,0,74574408,True,2,Loyang Avenue,primary,70,40.77,"LINESTRING (103.9793034 1.3865028, 103.9790441 1.3862435)",,,,,,,
9908,4613051766,3982746908,0,512991743,True,2,Changi Village Road,residential,50,22.175,"LINESTRING (103.9872847 1.3878712, 103.9872734 1.3880703)",,,,,,,
9909,4613051769,4613051798,0,655630669,True,2,Loyang Avenue,primary,70,52.54,"LINESTRING (103.9869824 1.3874634, 103.9865098 1.3874698)",,,,,,,
9910,4613051797,5152743775,0,74574408,True,2,Loyang Avenue,primary,70,21.422,"LINESTRING (103.9799162 1.386923, 103.9797521 1.386822)",,,,,,,
9911,4613051798,5157872595,0,655630669,True,2,Loyang Avenue,primary,70,60.043,"LINESTRING (103.9865098 1.3874698, 103.985973 1.3875297)",,,,,,,
9912,4614444684,6722611113,0,633840123,True,2,Ang Mo Kio Avenue 10,secondary,50,67.83,"LINESTRING (103.8567819 1.3693305, 103.8567853 1.3699405)",,,,,,,
9913,4614444686,206101421,0,480280667,True,4,Ang Mo Kio Avenue 3,primary,60,26.131,"LINESTRING (103.8565542 1.3692008, 103.8567822 1.3691436)",,,,,,,
9914,4614586141,229403073,0,633846965,True,4,Upper Paya Lebar Road,primary,60,24.611,"LINESTRING (103.8771783 1.352164, 103.8773839 1.3520819)",,,,,,,
9915,4614757835,4594223710,0,537989240,True,1,Yio Chu Kang Road,secondary,50,20.69,"LINESTRING (103.8779024 1.3541312, 103.8780733 1.3540575)",,,,,,,
9916,4614757836,2489478658,0,537989239,True,2,Yio Chu Kang Road,secondary,50,24.822,"LINESTRING (103.8778266 1.3540554, 103.8776514 1.3541938)",,,,,,,
9917,4614787192,6198763023,0,475116739,True,4,Upper Serangoon Road,primary,60,13.932,"LINESTRING (103.8741382 1.3500604, 103.8740483 1.3499731)",,,,,,,
9918,4614787193,6195900936,0,448937580,True,2,Serangoon Central,secondary,60,47.757,"LINESTRING (103.8736011 1.3502334, 103.8733206 1.3505587)",,,,,,,
9919,4614787197,4591795333,0,479753119,True,2,Yio Chu Kang Road,secondary,50,7.819,"LINESTRING (103.8774212 1.3544055, 103.8773698 1.3544535)",,,,,,,
9920,4616354114,1398083483,0,480488538,True,5,Selegie Road,primary,50,7.942,"LINESTRING (103.8500551 1.3031016, 103.850057 1.303173)",,,,,,,
9921,4616354118,1398083478,0,396336420,True,5,Selegie Road,primary,50,4.28,"LINESTRING (103.8502075 1.3039651, 103.8502233 1.3040002)",,,,,,,
9922,4623058125,175259756,0,172065637,True,7,Geylang Road,primary,50,6.179,"LINESTRING (103.892323 1.3151054, 103.8922684 1.315095)",,,,,,,
9923,4623296692,6997095917,0,747882606,True,2,Amber Road,primary,50,60.058,"LINESTRING (103.9009782 1.3020299, 103.9012141 1.301544)",,,,,,,
9924,4628006487,1788565908,0,480733940,True,2,Canberra Road,primary,60,79.875,"LINESTRING (103.8218229 1.4492649, 103.8221049 1.4486042)",,,,,,,
9925,4636699825,243483938,0,474210631,True,3,Marine Parade Road,primary,60,51.619,"LINESTRING (103.9245745 1.3086254, 103.9250233 1.3087445)",,,,,,,
9926,4636699830,5220231369,0,474446528,True,2,Marine Parade Road,primary,60,16.227,"LINESTRING (103.9314754 1.3103836, 103.9316122 1.3104345)",,,,,,,
9927,4636700148,6306482949,0,474428338,True,3,Marine Parade Road,primary,60,50.455,"LINESTRING (103.9148605 1.3066697, 103.9153031 1.3067702)",,,,,,,
9928,4636760975,5219020471,0,74518787,True,3,Marine Parade Road,primary,60,23.001,"LINESTRING (103.9135207 1.3063211, 103.9137196 1.3063781)",,,,,,,
9929,4636793703,4636793704,0,469333090,True,1,,trunk_link,50,17.88,"LINESTRING (103.9834478 1.3449288, 103.9834484 1.344768)",,,,,,,
9930,4636793703,243497290,0,634789599,True,4,Airport Boulevard,trunk,50,28.936,"LINESTRING (103.9834478 1.3449288, 103.9833403 1.3446918)",,,,,,,
9931,4636793704,4636823109,0,469333090,True,1,,trunk_link,50,14.578,"LINESTRING (103.9834484 1.344768, 103.9834486 1.3446369)",,,,,,,
9932,4636793706,4636793707,0,469333090,True,1,,trunk_link,50,15.927,"LINESTRING (103.9834989 1.3442034, 103.9835184 1.3440615)",,,,,,,
