,u,v,key,osmid,bridge,oneway,length,geometry
538,2274884992,5379987383,0,173144836,yes,False,14.152,"LINESTRING (103.9060086 1.4172174, 103.9061235 1.4171626)"
539,2274884992,2274884996,0,173144836,yes,False,29.333,"LINESTRING (103.9060086 1.4172174, 103.9057627 1.4173131)"
540,2274884994,1712357087,0,173144832,yes,False,23.342,"LINESTRING (103.9057494 1.4172531, 103.905557 1.4173372)"
541,2274884994,1839721875,0,173144832,yes,False,87.5,"LINESTRING (103.9057494 1.4172531, 103.906453 1.4169003)"
542,2274884996,2274884992,0,173144836,yes,False,29.333,"LINESTRING (103.9057627 1.4173131, 103.9060086 1.4172174)"
543,2274884996,2274885003,0,173144836,yes,False,25.886,"LINESTRING (103.9057627 1.4173131, 103.9055429 1.41739)"
544,2274884999,1712357089,0,173144832,yes,False,39.656,"LINESTRING (103.9041469 1.4173219, 103.903832 1.4171543)"
545,2274884999,411102738,0,173144832,yes,False,32.426,"LINESTRING (103.9041469 1.4173219, 103.9044234 1.4174148)"
546,2274885001,5379987371,0,173144836,yes,False,3.303,"LINESTRING (103.9041162 1.4173486, 103.9041423 1.4173628)"
547,2274885001,2274884990,0,173144836,yes,False,38.173,"LINESTRING (103.9041162 1.4173486, 103.9038155 1.4171828)"
548,2274885003,2274884996,0,173144836,yes,False,25.886,"LINESTRING (103.9055429 1.41739, 103.9057627 1.4173131)"
549,2274885003,2274885005,0,173144836,yes,False,25.581,"LINESTRING (103.9055429 1.41739, 103.9053218 1.4174538)"
550,2274885005,2274885003,0,173144836,yes,False,25.581,"LINESTRING (103.9053218 1.4174538, 103.9055429 1.41739)"
551,2274885005,2274885012,0,173144836,yes,False,29.261,"LINESTRING (103.9053218 1.4174538, 103.9050626 1.4174997)"
552,2274885007,2274885011,0,173144836,yes,False,25.734,"LINESTRING (103.9044077 1.4174499, 103.9046345 1.4174963)"
553,2274885007,5379987376,0,173144836,yes,False,24.46,"LINESTRING (103.9044077 1.4174499, 103.9041977 1.4173842)"
554,2274885009,1712357092,0,173144832,yes,False,21.303,"LINESTRING (103.9048478 1.417473, 103.9046569 1.4174562)"
555,2274885009,1712357091,0,173144832,yes,False,26.65,"LINESTRING (103.9048478 1.417473, 103.9050871 1.4174585)"
556,2274885011,2274885014,0,173144836,yes,False,24.797,"LINESTRING (103.9046345 1.4174963, 103.904857 1.4175123)"
557,2274885011,2274885007,0,173144836,yes,False,25.734,"LINESTRING (103.9046345 1.4174963, 103.9044077 1.4174499)"
558,2274885012,2274885005,0,173144836,yes,False,29.261,"LINESTRING (103.9050626 1.4174997, 103.9053218 1.4174538)"
559,2274885012,2274885014,0,173144836,yes,False,22.898,"LINESTRING (103.9050626 1.4174997, 103.904857 1.4175123)"
