y,x,osmid,highway,address,ref
1.3879904,103.896597,242948450,traffic_signals,"Compassvale Road, Sengkang, Northeast, 544749, Singapore",
1.389433,103.892403,242948451,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 541201, Singapore",
1.3894794,103.8922529,242948452,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 541301, Singapore",
1.386615,103.8913015,242948493,traffic_signals,"Sengkang East Avenue, Sengkang, Northeast, 541303, Singapore",
1.3898798,103.9043145,242948495,,"Sengkang East Way, Punggol, Northeast, 545084, Singapore",
1.397973,103.9132785,2274875804,,"Punggol Central, Punggol, Northeast, 820651, Singapore",
1.390338,103.8898163,4715305456,,"Anchorvale Drive, Sengkang, Northeast, 541319, Singapore",
1.4152475,103.9015437,1779685883,,"Samudera, 61, Punggol Way, Punggol, Northeast, 822405, Singapore",
1.3879599,103.8966859,375773700,traffic_signals,"Compassvale Road, Sengkang, Northeast, 544749, Singapore",
1.4059007,103.8973378,4699838981,,"Punggol Way, Punggol, Northeast, 821261, Singapore",
1.4063616,103.8970842,4699838984,,"Punggol Central, Punggol, Northeast, 822261, Singapore",
1.3968816,103.9061907,411687474,,"Blk 105A, Edgefield Plains, Punggol Meridian, Punggol, Northeast, 820136, Singapore",
1.3970062,103.9062956,368925340,,"Blk 105B, Edgefield Plains, Punggol, Northeast, 820198, Singapore",
1.3885879,103.9019309,4727921366,,"Punggol Road, Sengkang, Northeast, 540124, Singapore",
1.3982546,103.912612,2274876138,,"Punggol Central, Punggol, Northeast, 821053, Singapore",
1.3857641,103.8958556,391191302,traffic_signals,"Compassvale Road, Sengkang, Northeast, 543205, Singapore",
1.3880337,103.8967076,375773973,traffic_signals,"Compassvale Road, Sengkang, Northeast, 544749, Singapore",
1.4029135,103.8910585,5178399567,,"Sengkang, Northeast, 822232, Singapore",
1.4021531,103.8948055,5178399571,,"Matilda Portico, Sengkang, Northeast, 822217, Singapore",
1.4023582,103.8946803,5178399574,,"Matilda Portico, Sengkang, Northeast, 822217, Singapore",
1.4023732,103.8945931,5178399575,,"Sengkang, Northeast, 823226, Singapore",
1.402216,103.8944025,5178399578,,"Sengkang, Northeast, 823226, Singapore",
1.39939,103.8921897,5015083876,,"Anchorvale Crescent, Sengkang, Northeast, 544629, Singapore",
1.3990285,103.8921457,5015083887,,"23, Anchorvale Crescent, Sengkang, Northeast, 544655, Singapore",
